Time [Seconds],Amplitude [V]
0,0
1e-05,0
2e-05,0
3e-05,0
4e-05,0
5e-05,0
6e-05,0
7e-05,0
8e-05,0
9e-05,0
0.0001,0
0.00011,0
0.00012,0
0.00013,0
0.00014,0
0.00015,0
0.00016,0
0.00017,0
0.00018,0
0.00019,0
0.0002,0
0.00021,0
0.00022,0
0.00023,0
0.00024,0
0.00025,0
0.00026,0
0.00027,0
0.00028,0
0.00029,0
0.0003,0
0.00031,0
0.00032,0
0.00033,0
0.00034,0
0.00035,0
0.00036,0
0.00037,0
0.00038,0
0.00039,0
0.0004,0
0.00041,0
0.00042,0
0.00043,0
0.00044,0
0.00045,0
0.00046,0
0.00047,0
0.00048,0
0.00049,0
0.0005,0
0.00051,0
0.00052,0
0.00053,0
0.00054,0
0.00055,0
0.00056,0
0.00057,0
0.00058,0
0.00059,0
0.0006,0
0.00061,0
0.00062,0
0.00063,0
0.00064,0
0.00065,0
0.00066,0
0.00067,0
0.00068,0
0.00069,0
0.0007,0
0.00071,0
0.00072,0
0.00073,0
0.00074,0
0.00075,0
0.00076,0
0.00077,0
0.00078,0
0.00079,0
0.0008,0
0.00081,0
0.00082,0
0.00083,0
0.00084,0
0.00085,0
0.00086,0
0.00087,0
0.00088,0
0.00089,0
0.0009,0
0.00091,0
0.00092,0
0.00093,0
0.00094,0
0.00095,0
0.00096,0
0.00097,0
0.00098,0
0.00099,0
0.001,0
0.00101,0
0.00102,0
0.00103,0
0.00104,0
0.00105,0
0.00106,0
0.00107,0
0.00108,0
0.00109,0
0.0011,0
0.00111,0
0.00112,0
0.00113,0
0.00114,0
0.00115,0
0.00116,0
0.00117,0
0.00118,0
0.00119,0
0.0012,0
0.00121,0
0.00122,0
0.00123,0
0.00124,0
0.00125,0
0.00126,0
0.00127,0
0.00128,0
0.00129,0
0.0013,0
0.00131,0
0.00132,0
0.00133,0
0.00134,0
0.00135,0
0.00136,0
0.00137,0
0.00138,0
0.00139,0
0.0014,0
0.00141,0
0.00142,0
0.00143,0
0.00144,0
0.00145,0
0.00146,0
0.00147,0
0.00148,0
0.00149,0
0.0015,0
0.00151,0
0.00152,0
0.00153,0
0.00154,0
0.00155,0
0.00156,0
0.00157,0
0.00158,0
0.00159,0
0.0016,0
0.00161,0
0.00162,0
0.00163,0
0.00164,0
0.00165,0
0.00166,0
0.00167,0
0.00168,0
0.00169,0
0.0017,0
0.00171,0
0.00172,0
0.00173,0
0.00174,0
0.00175,0
0.00176,0
0.00177,0
0.00178,0
0.00179,0
0.0018,0
0.00181,0
0.00182,0
0.00183,0
0.00184,0
0.00185,0
0.00186,0
0.00187,0
0.00188,0
0.00189,0
0.0019,0
0.00191,0
0.00192,0
0.00193,0
0.00194,0
0.00195,0
0.00196,0
0.00197,0
0.00198,0
0.00199,0
0.002,0
0.00201,0
0.00202,0
0.00203,0
0.00204,0
0.00205,0
0.00206,0
0.00207,0
0.00208,0
0.00209,0
0.0021,0
0.00211,0
0.00212,0
0.00213,0
0.00214,0
0.00215,0
0.00216,0
0.00217,0
0.00218,0
0.00219,0
0.0022,0
0.00221,0
0.00222,0
0.00223,0
0.00224,0
0.00225,0
0.00226,0
0.00227,0
0.00228,0
0.00229,0
0.0023,0
0.00231,0
0.00232,0
0.00233,0
0.00234,0
0.00235,0
0.00236,0
0.00237,0
0.00238,0
0.00239,0
0.0024,0
0.00241,0
0.00242,0
0.00243,0
0.00244,0
0.00245,0
0.00246,0
0.00247,0
0.00248,0
0.00249,0
0.0025,0
0.00251,0
0.00252,0
0.00253,0
0.00254,0
0.00255,0
0.00256,0
0.00257,0
0.00258,0
0.00259,0
0.0026,0
0.00261,0
0.00262,0
0.00263,0
0.00264,0
0.00265,0
0.00266,0
0.00267,0
0.00268,0
0.00269,0
0.0027,0
0.00271,0
0.00272,0
0.00273,0
0.00274,0
0.00275,0
0.00276,0
0.00277,0
0.00278,0
0.00279,0
0.0028,0
0.00281,0
0.00282,0
0.00283,0
0.00284,0
0.00285,0
0.00286,0
0.00287,0
0.00288,0
0.00289,0
0.0029,0
0.00291,0
0.00292,0
0.00293,0
0.00294,0
0.00295,0
0.00296,0
0.00297,0
0.00298,0
0.00299,0
0.003,0
0.00301,0
0.00302,0
0.00303,0
0.00304,0
0.00305,0
0.00306,0
0.00307,0
0.00308,0
0.00309,0
0.0031,0
0.00311,0
0.00312,0
0.00313,0
0.00314,0
0.00315,0
0.00316,0
0.00317,0
0.00318,0
0.00319,0
0.0032,0
0.00321,0
0.00322,0
0.00323,0
0.00324,0
0.00325,0
0.00326,0
0.00327,0
0.00328,0
0.00329,0
0.0033,0
0.00331,0
0.00332,0
0.00333,0
0.00334,0
0.00335,0
0.00336,0
0.00337,0
0.00338,0
0.00339,0
0.0034,0
0.00341,0
0.00342,0
0.00343,0
0.00344,0
0.00345,0
0.00346,0
0.00347,0
0.00348,0
0.00349,0
0.0035,0
0.00351,0
0.00352,0
0.00353,0
0.00354,0
0.00355,0
0.00356,0
0.00357,0
0.00358,0
0.00359,0
0.0036,0
0.00361,0
0.00362,0
0.00363,0
0.00364,0
0.00365,0
0.00366,0
0.00367,0
0.00368,0
0.00369,0
0.0037,0
0.00371,0
0.00372,0
0.00373,0
0.00374,0
0.00375,0
0.00376,0
0.00377,0
0.00378,0
0.00379,0
0.0038,0
0.00381,0
0.00382,0
0.00383,0
0.00384,0
0.00385,0
0.00386,0
0.00387,0
0.00388,0
0.00389,0
0.0039,0
0.00391,0
0.00392,0
0.00393,0
0.00394,0
0.00395,0
0.00396,0
0.00397,0
0.00398,0
0.00399,0
0.004,0
0.00401,0
0.00402,0
0.00403,0
0.00404,0
0.00405,0
0.00406,0
0.00407,0
0.00408,0
0.00409,0
0.0041,0
0.00411,0
0.00412,0
0.00413,0
0.00414,0
0.00415,0
0.00416,0
0.00417,0
0.00418,0
0.00419,0
0.0042,0
0.00421,0
0.00422,0
0.00423,0
0.00424,0
0.00425,0
0.00426,0
0.00427,0
0.00428,0
0.00429,0
0.0043,0
0.00431,0
0.00432,0
0.00433,0
0.00434,0
0.00435,0
0.00436,0
0.00437,0
0.00438,0
0.00439,0
0.0044,0
0.00441,0
0.00442,0
0.00443,0
0.00444,0
0.00445,0
0.00446,0
0.00447,0
0.00448,0
0.00449,0
0.0045,0
0.00451,0
0.00452,0
0.00453,0
0.00454,0
0.00455,0
0.00456,0
0.00457,0
0.00458,0
0.00459,0
0.0046,0
0.00461,0
0.00462,0
0.00463,0
0.00464,0
0.00465,0
0.00466,0
0.00467,0
0.00468,0
0.00469,0
0.0047,0
0.00471,0
0.00472,0
0.00473,0
0.00474,0
0.00475,0
0.00476,0
0.00477,0
0.00478,0
0.00479,0
0.0048,0
0.00481,0
0.00482,0
0.00483,0
0.00484,0
0.00485,0
0.00486,0
0.00487,0
0.00488,0
0.00489,0
0.0049,0
0.00491,0
0.00492,0
0.00493,0
0.00494,0
0.00495,0
0.00496,0
0.00497,0
0.00498,0
0.00499,0
0.005,0
0.00501,0
0.00502,0.0526832119420674
0.00503,0.105130348152447
0.00504,0.157337687671122
0.00505,0.209301547625974
0.00506,0.261018283399644
0.00507,0.312484288792169
0.00508,0.363695996179438
0.00509,0.414649876667439
0.0051,0.465342440242331
0.00511,0.515770235916313
0.00512,0.565929851869326
0.00513,0.615817915586575
0.00514,0.665431093991879
0.00515,0.714766093576867
0.00516,0.763819660526006
0.00517,0.812588580837489
0.00518,0.861069680439977
0.00519,0.909259825305206
0.0052,0.957155921556468
0.00521,1.00475491557297
0.00522,1.05205379409011
0.00523,1.09904958429558
0.00524,1.14573935392149
0.00525,1.19212021133228
0.00526,1.23818930560868
0.00527,1.28394382662755
0.00528,1.32938100513763
0.00529,1.37449811283134
0.0053,1.4192924624125
0.00531,1.46376140765999
0.00532,1.50790234348752
0.00533,1.55171270599931
0.00534,1.59518997254178
0.00535,1.63833166175138
0.00536,1.68113533359833
0.00537,1.72359858942654
0.00538,1.76571907198948
0.00539,1.80749446548226
0.0054,1.84892249556973
0.00541,1.89000092941069
0.00542,1.9307275756783
0.00543,1.97110028457657
0.00544,2.01111694785301
0.00545,2.05077549880752
0.00546,2.0900739122974
0.00547,2.12901020473858
0.00548,2.16758243410316
0.00549,2.20578869991304
0.0055,2.24362714322995
0.00551,2.28109594664167
0.00552,2.31819333424458
0.00553,2.35491757162254
0.00554,2.391266965822
0.00555,2.42723986532362
0.00556,2.46283466001011
0.00557,2.49804978113053
0.00558,2.53288370126096
0.00559,2.56733493426166
0.0056,2.60140203523054
0.00561,2.63508360045329
0.00562,2.66837826734977
0.00563,2.7012847144171
0.00564,2.73380166116912
0.00565,2.76592786807253
0.00566,2.79766213647948
0.00567,2.82900330855682
0.00568,2.85995026721193
0.00569,2.89050193601518
0.0057,2.92065727911907
0.00571,2.95041530117398
0.00572,2.9797750472407
0.00573,3.00873560269961
0.00574,3.03729609315665
0.00575,3.06545568434599
0.00576,3.09321358202957
0.00577,3.12056903189341
0.00578,3.14752131944072
0.00579,3.17406976988192
0.0058,3.20021374802151
0.00581,3.2259526581419
0.00582,3.25128594388404
0.00583,3.2762130881252
0.00584,3.3007336128535
0.00585,3.32484707903966
0.00586,3.34855308650562
0.00587,3.37185127379027
0.00588,3.39474131801231
0.00589,3.41722293473009
0.0059,3.43929587779868
0.00591,3.46095993922408
0.00592,3.48221494901457
0.00593,3.50306077502929
0.00594,3.52349732282403
0.00595,3.54352453549436
0.00596,3.56314239351588
0.00597,3.58235091458198
0.00598,3.60115015343878
0.00599,3.61954020171748
0.006,3.63752118776416
0.00601,3.65509327646691
0.00602,3.67225666908045
0.00603,3.58364517916407
0.00604,3.49509765551703
0.00605,3.40662184933648
0.00606,3.31822547128386
0.00607,3.22991619096339
0.00608,3.14170163640665
0.00609,3.05358939356314
0.0061,2.96558700579699
0.00611,2.87770197338958
0.00612,2.78994175304843
0.00613,2.70231375742206
0.00614,2.61482535462108
0.00615,2.52748386774533
0.00616,2.44029657441725
0.00617,2.35327070632137
0.00618,2.26641344875006
0.00619,2.17973194015542
0.0062,2.09323327170737
0.00621,2.00692448685805
0.00622,1.9208125809124
0.00623,1.834904500605
0.00624,1.74920714368319
0.00625,1.66372735849644
0.00626,1.57847194359204
0.00627,1.49344764731705
0.00628,1.40866116742655
0.00629,1.32411915069822
0.0063,1.23982819255326
0.00631,1.15579483668353
0.00632,1.07202557468516
0.00633,0.988526845698384
0.00634,0.90530503605375
0.00635,0.822366478924701
0.00636,0.739717453986462
0.00637,0.657364187081296
0.00638,0.575312849890113
0.00639,0.493569559610432
0.0064,0.412140378640695
0.00641,0.331031314270944
0.00642,0.250248318379849
0.00643,0.169797287138098
0.00644,0.0896840607181387
0.00645,0.0099144230102743
0.00646,-0.0695058986548871
0.00647,-0.148571233777636
0.00648,-0.227275968954018
0.00649,-0.305614548134349
0.0065,-0.383581472875394
0.00651,-0.461171302586209
0.00652,-0.538378654767664
0.00653,-0.615198205245634
0.00654,-0.691624688397887
0.00655,-0.767652897374656
0.00656,-0.843277684312917
0.00657,-0.918493960544372
0.00658,-0.993296696797149
0.00659,-1.06768092339124
0.0066,-1.14164173042764
0.00661,-1.21517426797131
0.00662,-1.28827374622778
0.00663,-1.36093543571364
0.00664,-1.43315466742074
0.00665,-1.50492683297421
0.00666,-1.57624738478426
0.00667,-1.64711183619184
0.00668,-1.7175157616081
0.00669,-1.78745479664773
0.0067,-1.85692463825613
0.00671,-1.92592104483045
0.00672,-1.99443983633458
0.00673,-2.06247689440803
0.00674,-2.13002816246866
0.00675,-2.19708964580949
0.00676,-2.26365741168937
0.00677,-2.32972758941764
0.00678,-2.39529637043286
0.00679,-2.4603600083755
0.0068,-2.52491481915464
0.00681,-2.58895718100883
0.00682,-2.6524835345609
0.00683,-2.71549038286702
0.00684,-2.77797429145973
0.00685,-2.8399318883852
0.00686,-2.90135986423468
0.00687,-2.96225497217004
0.00688,-3.02261402794362
0.00689,-3.08243390991227
0.0069,-3.14171155904565
0.00691,-3.2004439789288
0.00692,-3.25862823575907
0.00693,-3.31626145833735
0.00694,-3.37334083805364
0.00695,-3.42986362886704
0.00696,-3.48582714728015
0.00697,-3.54122877230788
0.00698,-3.59606594544078
0.00699,-3.65033617060277
0.007,-3.70403701410352
0.00701,-3.75716610458528
0.00702,-3.8097211329643
0.00703,-3.7563334284828
0.00704,-3.70283938175538
0.00705,-3.64924431203532
0.00706,-3.59555352438622
0.00707,-3.54177230926316
0.00708,-3.48790594209691
0.00709,-3.43395968288134
0.0071,-3.37993877576413
0.00711,-3.32584844864058
0.00712,-3.27169391275081
0.00713,-3.21748036228013
0.00714,-3.16321297396277
0.00715,-3.10889690668895
0.00716,-3.05453730111523
0.00717,-3.00013927927826
0.00718,-2.94570794421195
0.00719,-2.89124837956797
0.0072,-2.83676564923974
0.00721,-2.78226479698981
0.00722,-2.72775084608076
0.00723,-2.6732287989095
0.00724,-2.6187036366452
0.00725,-2.56418031887054
0.00726,-2.50966378322671
0.00727,-2.45515894506177
0.00728,-2.40067069708273
0.00729,-2.34620390901108
0.0073,-2.29176342724203
0.00731,-2.23735407450725
0.00732,-2.18298064954137
0.00733,-2.12864792675199
0.00734,-2.07436065589343
0.00735,-2.0201235617441
0.00736,-1.96594134378762
0.00737,-1.91181867589753
0.00738,-1.85776020602581
0.00739,-1.80377055589505
0.0074,-1.7498543206944
0.00741,-1.6960160687792
0.00742,-1.64226034137443
0.00743,-1.5885916522819
0.00744,-1.53501448759117
0.00745,-1.4815333053943
0.00746,-1.42815253550442
0.00747,-1.37487657917801
0.00748,-1.32170980884106
0.00749,-1.26865656781903
0.0075,-1.21572117007066
0.00751,-1.16290789992551
0.00752,-1.11022101182552
0.00753,-1.05766473007021
0.00754,-1.00524324856592
0.00755,-0.952960730578753
0.00756,-0.900821308491511
0.00757,-0.848829083564394
0.00758,-0.796988125699642
0.00759,-0.745302473210026
0.0076,-0.693776132591225
0.00761,-0.642413078298093
0.00762,-0.591217252524807
0.00763,-0.540192564988915
0.00764,-0.48934289271927
0.00765,-0.438672079847868
0.00766,-0.388183937405576
0.00767,-0.337882243121767
0.00768,-0.287770741227849
0.00769,-0.237853142264701
0.0077,-0.188133122894002
0.00771,-0.138614325713473
0.00772,-0.0893003590760107
0.00773,-0.040194796912724
0.00774,0.00869882144012751
0.00775,0.0573769914103001
0.00776,0.105836243354835
0.00777,0.154073142721436
0.00778,0.202084290205949
0.00779,0.249866321905963
0.0078,0.297415909470515
0.00781,0.344729760245921
0.00782,0.391804617417721
0.00783,0.438637260148762
0.00784,0.485224503713394
0.00785,0.531563199627819
0.00786,0.577650235776566
0.00787,0.623482536535122
0.00788,0.669057062888706
0.00789,0.714370812547212
0.0079,0.759420820056302
0.00791,0.80420415690468
0.00792,0.848717931627543
0.00793,0.892959289906214
0.00794,0.936925414663966
0.00795,0.980613526158059
0.00796,1.02402088206797
0.00797,1.06714477757986
0.00798,1.10998254546723
0.00799,1.15253155616789
0.008,1.19478921785706
0.00801,1.23675297651687
0.00802,1.27842031600196
0.00803,1.31978875810151
0.00804,1.25548943871332
0.00805,1.19135853101416
0.00806,1.1274011128515
0.00807,1.06362222404232
0.00808,1.00002686608301
0.00809,0.936620001863822
