Time [Seconds],Amplitude [V]
0,0
0.0001,0
0.0002,0
0.0003,0
0.0004,0
0.0005,0
0.0006,0
0.0007,0
0.0008,0
0.0009,0
0.001,0
0.0011,0
0.0012,0
0.0013,0
0.0014,0
0.0015,0
0.0016,0
0.0017,0
0.0018,0
0.0019,0
0.002,0
0.0021,0
0.0022,0
0.0023,0
0.0024,0
0.0025,0
0.0026,0
0.0027,0
0.0028,0
0.0029,0
0.003,0
0.0031,0
0.0032,0
0.0033,0
0.0034,0
0.0035,0
0.0036,0
0.0037,0
0.0038,0
0.0039,0
0.004,0
0.0041,0
0.0042,0
0.0043,0
0.0044,0
0.0045,0
0.0046,0
0.0047,0
0.0048,0
0.0049,0
0.005,0
0.0051,0
0.0052,0
0.0053,0
0.0054,0
0.0055,0
0.0056,0
0.0057,0
0.0058,0
0.0059,0
0.006,0
0.0061,0
0.0062,0
0.0063,0
0.0064,0
0.0065,0
0.0066,0
0.0067,0
0.0068,0
0.0069,0
0.007,0
0.0071,0
0.0072,0
0.0073,0
0.0074,0
0.0075,0
0.0076,0
0.0077,0
0.0078,0
0.0079,0
0.008,0
0.0081,0
0.0082,0
0.0083,0
0.0084,0
0.0085,0
0.0086,0
0.0087,0
0.0088,0
0.0089,0
0.009,0
0.0091,0
0.0092,0
0.0093,0
0.0094,0
0.0095,0
0.0096,0
0.0097,0
0.0098,0
0.0099,0
0.01,0
0.0101,0
0.0102,0
0.0103,0
0.0104,0
0.0105,0
0.0106,0
0.0107,0
0.0108,0
0.0109,0
0.011,0
0.0111,0
0.0112,0
0.0113,0
0.0114,0
0.0115,0
0.0116,0
0.0117,0
0.0118,0
0.0119,0
0.012,0
0.0121,0
0.0122,0
0.0123,0
0.0124,0
0.0125,0
0.0126,0
0.0127,0
0.0128,0
0.0129,0
0.013,0
0.0131,0
0.0132,0
0.0133,0
0.0134,0
0.0135,0
0.0136,0
0.0137,0
0.0138,0
0.0139,0
0.014,0
0.0141,0
0.0142,0
0.0143,0
0.0144,0
0.0145,0
0.0146,0
0.0147,0
0.0148,0
0.0149,0
0.015,0
0.0151,0
0.0152,0
0.0153,0
0.0154,0
0.0155,0
0.0156,0
0.0157,0
0.0158,0
0.0159,0
0.016,0
0.0161,0
0.0162,0
0.0163,0
0.0164,0
0.0165,0
0.0166,0
0.0167,0
0.0168,0
0.0169,0
0.017,0
0.0171,0
0.0172,0
0.0173,0
0.0174,0
0.0175,0
0.0176,0
0.0177,0
0.0178,0
0.0179,0
0.018,0
0.0181,0
0.0182,0
0.0183,0
0.0184,0
0.0185,0
0.0186,0
0.0187,0
0.0188,0
0.0189,0
0.019,0
0.0191,0
0.0192,0
0.0193,0
0.0194,0
0.0195,0
0.0196,0
0.0197,0
0.0198,0
0.0199,0
0.02,0
0.0201,0
0.0202,0.515770235916313
0.0203,1.00475491557297
0.0204,1.46376140765999
0.0205,1.89000092941069
0.0206,2.28109594664167
0.0207,2.63508360045329
0.0208,2.95041530117398
0.0209,3.2259526581419
0.021,3.46095993922409
0.0211,3.65509327646692
0.0212,3.80838685387425
0.0213,3.921236329971
0.0214,3.99437976150853
0.0215,4.02887630541041
0.0216,4.0260829838737
0.0217,3.98762980248979
0.0218,3.9153935134077
0.0219,3.81147031503422
0.022,3.67814777666857
0.0221,3.51787627094306
0.0222,3.3332401891385
0.0223,3.12692920453283
0.0224,2.90170983709966
0.0225,2.6603975592918
0.0226,2.40582966751598
0.0227,2.14083912743217
0.0228,1.86822958359688
0.0229,1.59075170542129
0.023,1.31108102213638
0.0231,1.03179737965142
0.0232,0.755366132058393
0.0233,0.484121160264932
0.0234,0.220249790020076
0.0235,-0.0342203383940635
0.0236,-0.277432416126082
0.0237,-0.507709613737706
0.0238,-0.723562235911241
0.0239,-0.923692905100217
0.024,-1.10699981290194
0.0241,-1.27257809343368
0.0242,-1.41971938734752
0.0243,-1.54790967824433
0.0244,-1.65682549508117
0.0245,-1.74632858465924
0.0246,-1.81645916739518
0.0247,-1.86742789729639
0.0248,-1.8996066533715
0.0249,-1.91351829461546
0.025,-1.90982551423152
0.0251,-1.88931893091786
0.0252,-1.85290455589355
0.0253,-1.80159077391767
0.0254,-1.73647497492252
0.0255,-1.65872997010662
0.0256,-1.5695903224866
0.0257,-1.47033871707177
0.0258,-1.36229249008491
0.0259,-1.24679043009892
0.026,-1.12517995668362
0.0261,-0.998804774256788
0.0262,-0.868993090404855
0.0263,-0.737046479079769
0.0264,-0.604229459886288
0.0265,-0.471759855244465
0.0266,-0.3407999776395
0.0267,-0.21244868954658
0.0268,-0.0877343690295097
0.0269,0.0323911954572575
0.027,0.147057966804384
0.0271,0.255481872260779
0.0272,0.356968071121497
0.0273,0.450913288742711
0.0274,0.536807236332138
0.0275,0.61423314325087
0.0276,0.682867435298874
0.0277,0.742478598605295
0.0278,0.792925274276733
0.0279,0.834153633849338
0.028,0.866194089827804
0.0281,0.889157399166849
0.0282,0.903230220455244
0.0283,0.90867018780197
0.0284,0.905800566007325
0.0285,0.895004552542872
0.0286,0.876719292182477
0.0287,0.851429669846056
0.0288,0.819661946366594
0.0289,0.781977300501352
0.029,0.738965338615735
0.0291,0.691237631111294
0.0292,0.639421331888885
0.0293,0.584152933976969
0.0294,0.526072210957869
0.0295,0.465816390037123
0.0296,0.404014598568984
0.0297,0.341282621621004
0.0298,0.278218003778619
0.0299,0.215395523902193
0.03,0.153363066998567
0.0301,0.0926379127998975
0.0302,0.033703456095853
0.0303,-1.05453410245207
0.0304,-2.0865556171558
0.0305,-3.05560931366478
0.0306,-3.95579365451481
0.0307,-4.78207318720077
0.0308,-5.53028601309048
0.0309,-6.19714317149268
0.031,-6.78022029237353
0.0311,-7.27794192470862
0.0312,-7.68955899503054
0.0313,-8.01511989221748
0.0314,-8.2554357098596
0.0315,-8.41204020659003
0.0316,-8.48714506758673
0.0317,-8.48359106710568
0.0318,-8.40479574251185
0.0319,-8.25469819499918
0.032,-8.03770163124422
0.0321,-7.75861425387394
0.0322,-7.42258909713566
0.0323,-7.03506338785883
0.0324,-6.60169799104662
0.0325,-6.12831747460591
0.0326,-5.6208512992136
0.0327,-5.08527660753634
0.0328,-4.52756305239473
0.0329,-3.95362006641935
0.033,-3.36924693672092
0.0331,-2.78008600751967
0.0332,-2.19157929197968
0.0333,-1.60892873208909
0.0334,-1.03706030272573
0.0335,-0.480592113441124
0.0336,0.056193380641411
0.0337,0.569372988731635
0.0338,1.05540218515529
0.0339,1.51113030978478
0.034,1.93381161383886
0.0341,2.32111223172681
0.0342,2.6711131923456
0.0343,2.98230961355415
0.0344,3.25360625128265
0.0345,3.4843095997509
0.0346,3.67411676146267
0.0347,3.82310132493762
0.0348,3.93169650449158
0.0349,4.00067580976115
0.035,4.03113152309868
0.0351,4.02445127047329
0.0352,3.98229297616095
0.0353,3.90655849337476
0.0354,3.79936620217746
0.0355,3.66302286265505
0.0356,3.49999500555246
0.0357,3.3128801345354
0.0358,3.10437800411458
0.0359,2.87726222523083
0.036,2.63435243673968
0.0361,2.37848726574992
0.0362,2.11249828316255
0.0363,1.8391851430297
0.0364,1.56129207571329
0.0365,1.28148588547455
0.0366,1.00233558327193
0.0367,0.726293765382732
0.0368,0.455679828187511
0.0369,0.192665089248962
0.037,-0.0607401351429267
0.0371,-0.302697465334814
0.0372,-0.531549394936018
0.0373,-0.745826235323912
0.0374,-0.944251092065248
0.0375,-1.12574291374583
0.0376,-1.28941766908856
0.0377,-1.43458772246844
0.0378,-1.56075949092634
0.0379,-1.66762947747846
0.038,-1.75507878586778
0.0381,-1.82316623087328
0.0382,-1.87212016586178
0.0383,-1.90232915542918
0.0384,-1.91433162573841
0.0385,-1.90880462853835
0.0386,-1.8865518568713
0.0387,-1.84849105118622
0.0388,-1.79564093402097
0.0389,-1.72910780965955
0.039,-1.65007196227531
0.0391,-1.55977398211569
0.0392,-1.45950114434575
0.0393,-1.35057395933639
0.0394,-1.23433300654563
0.0395,-1.11212615679361
0.0396,-0.985296279769397
0.0397,-0.855169525126199
0.0398,-0.723044256621416
0.0399,-0.590180709533429
0.04,-0.457791432136345
0.0401,-0.327032562429405
0.0402,-0.198995981691
0.0403,0.956838094987179
0.0404,2.05441459696898
0.0405,3.08648703764159
0.0406,4.04670300246633
0.0407,4.92962211709834
0.0408,5.73072513668023
0.0409,6.44641445773082
0.041,7.0740064173031
0.0411,7.61171580137489
0.0412,8.05863303550909
0.0413,8.41469457549101
0.0414,8.6806470537977
0.0415,8.85800576931879
0.0416,8.94900813273461
0.0417,8.95656269842486
0.0418,8.88419442584761
0.0419,8.73598681916115
0.042,8.51652159367745
0.0421,8.23081651179627
0.0422,7.88426201967307
0.0423,7.48255729935911
0.0424,7.03164632988487
0.0425,6.53765452513166
0.0426,6.00682648676691
0.0427,5.44546537743862
0.0428,4.85987438327784
0.0429,4.25630069600027
0.043,3.64088240398306
0.0431,3.0195986390803
0.0432,2.39822328207924
0.0433,1.78228248503505
0.0434,1.1770162236848
0.0435,0.587344048148229
0.0436,0.0178351555718176
0.0437,-0.527317135359815
0.0438,-1.04431647068113
0.0439,-1.52978011186779
0.044,-1.98075119397959
0.0441,-2.39470667136847
0.0442,-2.76956106597061
0.0443,-3.10366616555347
0.0444,-3.39580684893787
0.0445,-3.64519324201516
0.0446,-3.85144943221406
0.0447,-4.014598989858
0.0448,-4.13504756253619
0.0449,-4.21356282316882
0.045,-4.25125206388252
0.0451,-4.24953773615941
0.0452,-4.21013124304112
0.0453,-4.13500529154056
0.0454,-4.02636511294493
0.0455,-3.8866188555102
0.0456,-3.71834744829455
0.0457,-3.52427422671858
0.0458,-3.30723460004897
0.0459,-3.07014602856822
0.046,-2.81597856391491
0.0461,-2.54772619016239
0.0462,-2.26837918586125
0.0463,-1.98089770871783
0.0464,-1.68818678503387
0.0465,-1.39307286570881
0.0466,-1.09828208971886
0.0467,-0.806420374746903
0.0468,-0.519955433247569
0.0469,-0.241200790889818
0.047,0.0276981367881838
0.0471,0.284775874371934
0.0472,0.528256608187731
0.0473,0.756561803904546
0.0474,0.968315742991984
0.0475,1.16234901841641
0.0476,1.33770004635547
0.0477,1.49361466589877
0.0478,1.62954391259699
0.0479,1.74514006425447
0.048,1.84025106847983
0.0481,1.91491347117623
0.0482,1.96934397334504
0.0483,2.00392975028373
0.0484,2.01921767248616
0.0485,2.01590257131737
0.0486,1.99481469486511
0.0487,1.9569065003089
0.0488,1.9032389287439
0.0489,1.83496730671459
0.049,1.75332701582115
0.0491,1.65961906773721
0.0492,1.55519571690663
0.0493,1.44144623715847
0.0494,1.31978298158822
0.0495,1.19162783739899
0.0496,1.05839917907764
0.0497,0.921499414402974
0.0498,0.782303208446288
0.0499,0.642146461033563
0.05,0.502316103193989
0.0501,0.364040768020341
0.0502,0.228482381210029
0.0503,0.096728706433705
0.0504,-1.06175360115289
0.0505,-2.16093194621473
0.0506,-3.19359064929443
0.0507,-4.15341580242418
0.0508,-5.03501256360531
0.0509,-5.83391353902071
0.051,-6.54657856212475
0.0511,-7.17038624190414
0.0512,-7.7036177097258
0.0513,-8.14543304503444
0.0514,-8.49584090455318
0.0515,-8.755661917457
0.0516,-8.92648644017903
0.0517,-9.01062728908143
0.0518,-9.0110680872422
0.0519,-8.93140787319878
0.052,-8.77580262482272
0.0521,-8.54890435079857
0.0522,-8.25579839571048
0.0523,-7.9019395928081
0.0524,-7.49308788146978
0.0525,-7.03524398457813
0.0526,-6.534585714869
0.0527,-5.9974054492292
0.0528,-5.43004927633809
0.0529,-4.83885828642169
0.053,-4.23011243267213
0.0531,-3.6099773525402
0.0532,-2.9844544940934
0.0533,-2.35933484840028
0.0534,-1.74015654389959
0.0535,-1.13216651337326
0.0536,-0.540286398882007
0.0537,0.0309171847583419
0.0538,0.577257951307168
0.0539,1.09495077529868
0.054,1.58062806235191
0.0541,2.03135170417356
0.0542,2.44462070207029
0.0543,2.81837457767313
0.0544,3.15099272190663
0.0545,3.44128986283084
0.0546,3.68850785970105
0.0547,3.89230405431386
0.0548,4.05273643135714
0.0549,4.17024585700486
0.055,4.24563567937357
0.0551,4.28004898569441
0.0552,4.27494381918678
0.0553,4.23206666371012
0.0554,4.15342450640282
0.0555,4.04125578780192
0.0556,3.89800054550133
0.0557,3.72627005139942
0.0558,3.52881623417072
0.0559,3.30850116795189
0.056,3.06826689554816
0.0561,2.8111058399436
0.0562,2.54003204174641
0.0563,2.258053442631
0.0564,1.96814541606973
0.0565,1.67322572689806
0.0566,1.37613108074359
0.0567,1.07959540328856
0.0568,0.786229967937308
0.0569,0.498505468928923
0.057,0.218736115469074
0.0571,-0.0509341987592888
0.0572,-0.308543617130568
0.0573,-0.552321919268505
0.0574,-0.780698003945229
0.0575,-0.99230528028431
0.0576,-1.18598500939504
0.0577,-1.3607876549664
0.0578,-1.51597231652429
0.0579,-1.65100433292247
0.058,-1.7655511561294
0.0581,-1.85947660643773
0.0582,-1.93283362982442
0.0583,-1.98585568630353
0.0584,-2.01894690473474
0.0585,-2.03267114468145
0.0586,-2.02774010957389
0.0587,-2.00500065765405
0.0588,-1.96542145800319
0.0589,-1.91007913843257
0.059,-1.84014407021526
0.0591,-1.75686593162387
0.0592,-1.66155918809361
0.0593,-1.55558862163844
0.0594,-1.44035503600145
0.0595,-1.31728125701408
0.0596,-1.18779853987254
0.0597,-1.05333348661481
0.0598,-0.915295568101444
0.0599,-0.775065335371737
0.06,-0.633983395467023
0.0601,-0.493340216786433
0.0602,-0.354366818867621
0.0603,-0.218226391262068
0.0604,0.945533595837811
0.0605,2.0507952930956
0.0606,3.09025427682635
0.0607,4.05750534352558
0.0608,4.94706072552284
0.0609,5.75435936920244
0.061,6.47576757805623
0.0611,7.1085713865634
0.0612,7.65096108862628
0.0613,8.10200839577453
0.0614,8.46163674539368
0.0615,8.73058531771541
0.0616,8.91036735216621
0.0617,9.00322337891008
0.0618,9.01207000010103
0.0619,8.94044486759748
0.062,8.79244850985295
0.0621,8.57268366060254
0.0622,8.28619273607321
0.0623,7.93839409606159
0.0624,7.53501770768137
0.0625,7.08204080925419
0.0626,6.58562414609772
0.0627,6.05204932027021
0.0628,5.48765776309769
0.0629,4.89879180298525
0.063,4.29173826205334
0.0631,3.67267497400416
0.0632,3.0476205727706
0.0633,2.42238785738527
0.0634,1.80254099357767
0.0635,1.19335676729596
0.0636,0.599790060076983
0.0637,0.026443671353587
0.0638,-0.522457431227762
0.0639,-1.04308739524802
0.064,-1.53203630382174
0.0641,-1.98632257540543
0.0642,-2.40340102319483
0.0643,-2.78116668932438
0.0644,-3.11795460167193
0.0645,-3.41253563094578
0.0646,-3.66410865273983
0.0647,-3.87228924326969
0.0648,-4.03709515846305
0.0649,-4.15892886391637
0.065,-4.23855739792421
0.0651,-4.27708986134054
0.0652,-4.27595283647686
0.0653,-4.23686404263789
0.0654,-4.16180453832597
0.0655,-4.05298977971534
0.0656,-3.91283984183491
0.0657,-3.74394910314811
0.0658,-3.54905568604399
0.0659,-3.33101093533109
0.066,-3.09274920434537
0.0661,-2.8372582039435
0.0662,-2.56755015366241
0.0663,-2.28663395689678
0.0664,-1.99748860329579
0.0665,-1.7030379819272
0.0666,-1.40612726831795
0.0667,-1.10950102747239
